id,eventId,minute,second,period,team,teamId,playerId,playerName,type,outcome,x,y,endX,endY,isTouch,Zone,PassEndX,PassEndY,Length,Angle,otherQualifiers
2647548971.0,2,0,0,FirstHalf,Man City,167,,,Start,Successful,0.0,0.0,,,False,,,,,,
2647548943.0,2,0,0,FirstHalf,Chelsea,15,,,Start,Successful,0.0,0.0,,,False,,,,,,
2647549005.0,3,0,0,FirstHalf,Chelsea,15,369430,Enzo Fernández,Pass,Successful,50.1,50.0,29.2,54.0,True,Back,29.2,54.0,22.1,3.02,StandingSave
2647549019.0,4,0,2,FirstHalf,Chelsea,15,421351,Levi Colwill,Pass,Successful,30.8,54.2,67.1,19.8,True,Right,67.1,19.8,44.7,5.73,StandingSave; Longball
2647549027.0,5,0,5,FirstHalf,Chelsea,15,426050,Nicolas Jackson,Pass,Unsuccessful,67.1,19.8,63.8,26.5,True,Center,63.8,26.5,5.7,2.22,OtherBodyPart; LayOff; StandingSave
2647549041.0,3,0,5,FirstHalf,Man City,167,303139,Rodri,Pass,Successful,34.6,74.8,25.8,79.7,True,Back,25.8,79.7,9.8,2.80,StandingSave
2647549067.0,4,0,6,FirstHalf,Man City,167,122945,Nathan Aké,Pass,Unsuccessful,25.8,79.7,56.6,100.0,True,Left,56.6,100.0,35.7,0.44,Longball; StandingSave
2647549115.0,7,0,13,FirstHalf,Chelsea,15,403850,Malo Gusto,Pass,Successful,45.5,0.0,48.4,11.7,True,Back,48.4,11.7,9.3,1.24,ThrowIn
2647549143.0,8,0,15,FirstHalf,Chelsea,15,410175,Moisés Caicedo,Pass,Successful,49.9,10.3,60.4,2.0,True,Right,60.4,2.0,12.4,5.81,StandingSave
2647549153.0,9,0,16,FirstHalf,Chelsea,15,395692,Cole Palmer,Pass,Successful,58.7,2.5,63.2,16.2,True,Right,63.2,16.2,10.4,1.10,StandingSave
2647549179.0,10,0,17,FirstHalf,Chelsea,15,426050,Nicolas Jackson,Pass,Successful,64.0,28.5,60.4,33.1,True,Center,60.4,33.1,4.9,2.45,StandingSave
2647549189.0,11,0,19,FirstHalf,Chelsea,15,375621,Conor Gallagher,BallTouch,Unsuccessful,59.1,30.7,,,True,Center,,,,,StandingSave
2647549197.0,6,0,19,FirstHalf,Man City,167,365409,Julián Alvarez,BallRecovery,Successful,40.6,70.9,,,False,,,,,,
2647549231.0,7,0,20,FirstHalf,Man City,167,365409,Julián Alvarez,Pass,Successful,40.6,70.9,31.5,65.5,True,Back,31.5,65.5,10.2,3.51,StandingSave
2647549251.0,8,0,20,FirstHalf,Man City,167,303139,Rodri,Pass,Successful,38.0,69.3,48.3,68.3,True,Back,48.3,68.3,10.8,6.22,StandingSave
2647549353.0,9,0,23,FirstHalf,Man City,167,73084,Kevin De Bruyne,Pass,Successful,57.7,71.7,70.6,85.4,True,Left,70.6,85.4,16.4,0.60,StandingSave
2647549377.0,10,0,30,FirstHalf,Man City,167,388098,Jérémy Doku,Pass,Successful,76.3,96.1,63.8,92.4,True,Left,63.8,92.4,13.4,3.33,StandingSave
2647549407.0,11,0,32,FirstHalf,Man City,167,122945,Nathan Aké,Pass,Successful,64.6,89.0,55.4,71.1,True,Center,55.4,71.1,15.5,4.04,StandingSave
2647549477.0,12,0,35,FirstHalf,Man City,167,313171,Rúben Dias,Pass,Successful,54.6,69.2,52.1,43.5,True,Center,52.1,43.5,17.7,4.56,StandingSave
2647549519.0,13,0,39,FirstHalf,Man City,167,297390,Manuel Akanji,Pass,Successful,61.4,38.2,53.5,55.7,True,Center,53.5,55.7,14.5,2.18,StandingSave
2647549547.0,14,0,40,FirstHalf,Man City,167,303139,Rodri,Pass,Successful,54.2,56.5,64.0,67.3,True,Center,64.0,67.3,12.6,0.62,StandingSave
2647549575.0,15,0,42,FirstHalf,Man City,167,365409,Julián Alvarez,Pass,Successful,64.0,67.3,57.1,84.1,True,Left,57.1,84.1,13.5,2.14,StandingSave
2647549683.0,16,0,44,FirstHalf,Man City,167,122945,Nathan Aké,Pass,Successful,57.1,84.1,67.0,96.9,True,Left,67.0,96.9,13.6,0.70,StandingSave
2647549689.0,17,0,48,FirstHalf,Man City,167,388098,Jérémy Doku,TakeOn,Unsuccessful,80.1,90.5,,,True,Left,,,,,OverRun; Offensive; StandingSave
2647549705.0,13,0,50,FirstHalf,Chelsea,15,403850,Malo Gusto,BallRecovery,Successful,13.4,9.8,,,False,,,,,,
2647549745.0,14,0,51,FirstHalf,Chelsea,15,403850,Malo Gusto,Pass,Successful,11.8,18.2,18.4,17.6,True,Back,18.4,17.6,6.9,6.22,StandingSave
2647549789.0,15,0,52,FirstHalf,Chelsea,15,369430,Enzo Fernández,Pass,Successful,18.4,17.6,18.1,3.2,True,Back,18.1,3.2,9.8,4.68,StandingSave
2647549813.0,16,0,54,FirstHalf,Chelsea,15,395692,Cole Palmer,Pass,Successful,18.1,3.2,27.2,25.3,True,Back,27.2,25.3,17.8,1.00,StandingSave
2647549845.0,17,0,56,FirstHalf,Chelsea,15,410175,Moisés Caicedo,Pass,Unsuccessful,29.9,29.1,36.1,43.0,True,Back,36.1,43.0,11.5,0.97,StandingSave
2647549851.0,18,0,57,FirstHalf,Man City,167,69778,Kyle Walker,Interception,Successful,62.3,63.8,,,True,Center,,,,,StandingSave
2647549867.0,19,0,58,FirstHalf,Man City,167,73084,Kevin De Bruyne,BallRecovery,Successful,70.6,70.9,,,False,,,,,,
2647549931.0,20,1,1,FirstHalf,Man City,167,73084,Kevin De Bruyne,Pass,Successful,78.2,70.5,82.0,55.7,True,Center,82.0,55.7,10.8,5.09,StandingSave
