minute,second,team,player,type,cardType,description
0,0,Man City,,FormationSet,,
0,0,Chelsea,,FormationSet,,
34,6,Chelsea,Moisés Caicedo,Card,Yellow,
41,13,Chelsea,Nicolas Jackson,Pass,,
41,18,Chelsea,Raheem Sterling,Goal,,
59,48,Chelsea,Cole Palmer,Card,Yellow,
61,51,Chelsea,Djordje Petrovic,Card,Yellow,
63,41,Chelsea,Raheem Sterling,SubstitutionOff,,
63,41,Chelsea,Christopher Nkunku,SubstitutionOn,,
63,43,Chelsea,,FormationChange,,
63,53,Man City,Julián Alvarez,SubstitutionOff,,
63,53,Man City,Bernardo Silva,SubstitutionOn,,
70,48,Chelsea,Cole Palmer,SubstitutionOff,,
70,48,Chelsea,Trevoh Chalobah,SubstitutionOn,,
71,2,Chelsea,,FormationChange,,
81,28,Chelsea,Nicolas Jackson,SubstitutionOff,,
81,28,Chelsea,Cesare Casadei,SubstitutionOn,,
81,33,Chelsea,,FormationChange,,
82,6,Man City,Rodri,Goal,,
84,15,Man City,Bernardo Silva,Card,Yellow,
