playerId,name,team,position,goals,assists,aerialSuccessPct,aerialsTotal,aerialsWon,claimsHigh,clearances,collected,cornerAccuracyPct,cornersAccurate,cornersTotal,defensiveAerials,dispossessed,dribbleSuccessPct,dribbledPast,dribblesAttempted,dribblesLost,dribblesWon,foulsCommited,interceptions,offensiveAerials,offsidesCaught,parriedDanger,parriedSafe,passSuccessPct,passesAccurate,passesKey,passesTotal,rating,shotsBlocked,shotsOffTarget,shotsOnTarget,shotsTotal,tackleSuccessPct,tackleSuccessful,tackleUnsuccesful,tacklesTotal,throwInAccuracyPct,throwInsAccurate,throwInsTotal,totalSaves,touches
121774,Ederson,Man City,GK,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,88.2,30.0,0,34.0,6.95,0,0,0,0,0,0,0,0,0,0,0,5.0,45.0
69778,Kyle Walker,Man City,DR,0,0,100.0,1.0,1.0,0,3.0,0,0,0,0,1.0,0,100.0,1.0,1.0,0,1.0,1.0,2.0,0,0,0,0,95.0,57.0,1.0,60.0,6.95,1.0,1.0,0,2.0,50.0,1.0,1.0,2.0,87.5,7.0,8.0,0,82.0
313171,Rúben Dias,Man City,DC,0,0,40.0,5.0,2.0,0,4.0,0,0,0,0,3.0,0,0,0,0,0,0,2.0,0,2.0,0,0,0,96.2,101.0,0,105.0,6.89,0,0,1.0,1.0,100.0,3.0,0,3.0,0,0,0,0,118.0
297390,Manuel Akanji,Man City,DC,0,0,0.0,2.0,0,0,1.0,0,0,0,0,1.0,2.0,0,0,0,0,0,0,1.0,1.0,0,0,0,95.5,63.0,0,66.0,6.45,0,0,0,0,100.0,1.0,0,1.0,0,0,0,0,78.0
122945,Nathan Aké,Man City,DL,0,0,50.0,2.0,1.0,0,1.0,0,0.0,0,1.0,0,0,0.0,0,2.0,2.0,0,0,1.0,2.0,0,0,0,93.8,91.0,2.0,97.0,6.76,0,0,0,0,0,0,0,0,100.0,4.0,4.0,0,112.0
303139,Rodri,Man City,DMC,1,0,40.0,5.0,2.0,0,0,0,100.0,1.0,1.0,3.0,3.0,50.0,0,4.0,2.0,2.0,0,0,2.0,0,0,0,88.2,82.0,1.0,93.0,8.05,3.0,1.0,1.0,5.0,100.0,3.0,0,3.0,0,0,0,0,120.0
331254,Phil Foden,Man City,MR,0,0,0.0,1.0,0,0,0,0,0.0,0,1.0,1.0,4.0,0.0,0,2.0,2.0,0,0,1.0,0,0,0,0,92.7,51.0,2.0,55.0,7.03,3.0,0,0,3.0,100.0,3.0,0,3.0,0,0,0,0,77.0
365409,Julián Alvarez,Man City,MC,0,0,0.0,2.0,0,0,0,0,0.0,0,1.0,1.0,2.0,0,1.0,0,0,0,0,0,1.0,0,0,0,95.2,40.0,4.0,42.0,6.39,3.0,2.0,0,5.0,50.0,1.0,1.0,2.0,100.0,1.0,1.0,0,60.0
73084,Kevin De Bruyne,Man City,MC,0,0,0,0,0,0,1.0,0,100.0,4.0,4.0,0,2.0,50.0,1.0,2.0,1.0,1.0,0,0,0,0,0,0,79.7,51.0,8.0,64.0,7.53,0,1.0,0,1.0,0.0,0,1.0,1.0,100.0,5.0,5.0,0,100.0
388098,Jérémy Doku,Man City,ML,0,0,100.0,1.0,1.0,0,0,0,0.0,0,2.0,0,4.0,30.0,0,10.0,7.0,3.0,2.0,0,1.0,0,0,0,86.4,57.0,3.0,66.0,7.17,1.0,1.0,1.0,3.0,100.0,2.0,0,2.0,100.0,2.0,2.0,0,102.0
315227,Erling Haaland,Man City,FW,0,0,80.0,5.0,4.0,0,0,0,0.0,0,1.0,0,1.0,0,0,0,0,0,1.0,0,5.0,0,0,0,75.0,9.0,2.0,12.0,6.72,2.0,5.0,2.0,9.0,100.0,1.0,0,1.0,0,0,0,0,27.0
136741,Bernardo Silva,Man City,Sub,0,0,0.0,1.0,0,0,0,0,0.0,0,1.0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,0,88.2,15.0,2.0,17.0,6.24,1.0,1.0,0,2.0,0,0,0,0,0,0,0,0,25.0
93894,Mateo Kovacic,Man City,Sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133569,Stefan Ortega,Man City,Sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430709,Oscar Bobb,Man City,Sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
394933,Matheus Nunes,Man City,Sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
449161,Mahamadou Susoho,Man City,Sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355110,Sergio Gómez,Man City,Sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101374,John Stones,Man City,Sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
444791,Rico Lewis,Man City,Sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
406564,Djordje Petrovic,Chelsea,GK,0,0,0,0,0,1.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,70.6,24.0,0,34.0,7.06,0,0,0,0,0,0,0,0,0,0,0,4.0,51.0
403850,Malo Gusto,Chelsea,DR,0,0,0.0,1.0,0,0,10.0,0,0,0,0,1.0,2.0,0,1.0,0,0,0,1.0,1.0,0,1.0,0,0,86.2,25.0,2.0,29.0,7.8,0,0,0,0,88.9,8.0,1.0,9.0,100.0,5.0,5.0,0,67.0
300426,Axel Disasi,Chelsea,DC,0,0,100.0,4.0,4.0,0,16.0,0,0,0,0,4.0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,81.2,26.0,0,32.0,7.15,0,0,0,0,0.0,0,1.0,1.0,0,0,0,0,55.0
421351,Levi Colwill,Chelsea,DC,0,0,0.0,3.0,0,0,10.0,0,0,0,0,3.0,0,0,0,0,0,0,0,1.0,0,0,0,0,90.3,28.0,0,31.0,6.96,0,0,0,0,100.0,2.0,0,2.0,0,0,0,0,50.0
299272,Ben Chilwell,Chelsea,DL,0,0,66.7,3.0,2.0,0,5.0,0,0,0,0,2.0,1.0,0,0,0,0,0,0,0,1.0,2.0,0,0,70.8,17.0,0,24.0,6.58,0,0,1.0,1.0,100.0,1.0,0,1.0,80.0,4.0,5.0,0,45.0
369430,Enzo Fernández,Chelsea,DMC,0,0,0,0,0,0,3.0,0,0,0,0,0,0,0.0,0,1.0,1.0,0,1.0,1.0,0,0,0,0,78.8,26.0,1.0,33.0,6.97,0,1.0,0,1.0,100.0,4.0,0,4.0,0,0,0,0,50.0
410175,Moisés Caicedo,Chelsea,DMC,0,0,100.0,2.0,2.0,0,2.0,0,0,0,0,1.0,0,0,1.0,0,0,0,3.0,0,1.0,0,0,0,93.9,31.0,0,33.0,6.69,0,0,0,0,80.0,4.0,1.0,5.0,0,0,0,0,46.0
395692,Cole Palmer,Chelsea,AMR,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,1.0,1.0,0,1.0,2.0,2.0,0,0,0,0,95.0,19.0,0,20.0,6.89,0,0,0,0,66.7,2.0,1.0,3.0,0,0,0,0,30.0
375621,Conor Gallagher,Chelsea,AMC,0,0,50.0,4.0,2.0,0,0,0,0.0,0,1.0,2.0,0,0,2.0,0,0,0,2.0,2.0,2.0,0,0,0,81.2,26.0,1.0,32.0,6.86,0,1.0,0,1.0,66.7,4.0,2.0,6.0,0,0,0,0,49.0
97692,Raheem Sterling,Chelsea,AML,1,0,0,0,0,0,0,0,0,0,0,0,2.0,100.0,0,1.0,0,1.0,2.0,0,0,0,0,0,80.0,8.0,0,10.0,7.34,0,0,3.0,3.0,100.0,1.0,0,1.0,0,0,0,0,29.0
426050,Nicolas Jackson,Chelsea,FW,0,1,50.0,4.0,2.0,0,1.0,0,0,0,0,0,4.0,25.0,1.0,4.0,3.0,1.0,0,0,4.0,1.0,0,0,70.0,14.0,2.0,20.0,7.21,0,0,1.0,1.0,0.0,0,1.0,1.0,0,0,0,0,37.0
300945,Christopher Nkunku,Chelsea,Sub,0,0,0,0,0,0,1.0,0,0,0,0,0,1.0,0,0,0,0,0,0,1.0,0,1.0,0,0,75.0,3.0,0,4.0,6.13,1.0,0,1.0,2.0,0,0,0,0,0,0,0,0,11.0
433219,Cesare Casadei,Chelsea,Sub,0,0,66.7,3.0,2.0,0,2.0,0,0,0,0,1.0,0,0,0,0,0,0,1.0,0,2.0,0,0,0,33.3,1.0,1.0,3.0,6.29,0,0,0,0,100.0,1.0,0,1.0,0,0,0,0,6.0
353292,Trevoh Chalobah,Chelsea,Sub,0,0,0.0,1.0,0,0,1.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,1.0,0,2.0,6.14,0,0,0,0,100.0,1.0,0,1.0,0,0,0,0,5.0
409376,Mykhailo Mudryk,Chelsea,Sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135768,Marcus Bettinelli,Chelsea,Sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
389935,Noni Madueke,Chelsea,Sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
467969,Alfie Gilchrist,Chelsea,Sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
516952,Ollie Harrison,Chelsea,Sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
463992,Ishé Samuels-Smith,Chelsea,Sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
